id,name,facebook_likes
1095,Reginald Hudlin,71
1780,Joseph L. Mankiewicz,311
2077,Barbra Streisand,0
836,Mark Pellington,89
1952,John Glen,46
835,Catherine Hardwicke,308
1067,John Herzfeld,17
2254,Annabel Jankel,5
547,Julie Anne Robinson,30
1690,Evan Goldberg,133
400,Sngmoo Lee,19
1518,Jamel Debbouze,326
377,Gordon Chan,4
1852,Asger Leth,20
1423,John G. Avildsen,80
115,Anne Fletcher,98
921,Bruce Beresford,78
584,Sam Taylor-Johnson,456
1719,Ken Kwapis,42
1842,Wes Craven,0
1537,Etan Cohen,164
915,Nick Cassavetes,415
1222,Nicholas Stoller,89
2182,Mark A.Z. Dipp,20
1834,Cal Brunker,7
1277,Nimrd Antal,190
316,Alejandro Agresti,18
597,Peter Hedges,54
2049,Paul Weiland,10
2204,Colin Strause,25
492,Joan Chen,643
80,Greg Mottola,99
1487,Jake Kasdan,52
1044,Diane Keaton,0
180,Kelly Makin,6
1363,Stephen Daldry,335
1929,Christian Duguay,18
1896,Justin Chadwick,56
2301,Pat O'Connor,7
145,C. Fraser Press,0
2026,Frederik Du Chau,7
1485,Irwin Winkler,34
1767,Joseph Kahn,33
990,Sofia Coppola,0
355,Stephen Kay,19
830,J.A. Bayona,171
807,Elaine May,124
267,Dennie Gordon,29
1370,Charles Shyer,14
718,Ulu Grosbard,22
1366,William Malone,37
277,Steve Rash,15
926,Malcolm D. Lee,92
1157,Jerry Jameson,5
1009,Mic Rodgers,7
2348,Christian Alvart,22
1376,Jean-Marie Poir,8
395,Marc F. Adler,0
1609,Geoffrey Sax,13
2106,Richard Shepard,47
1347,Peter Ho-Sun Chan,31
1658,Joon-ho Bong,584
1769,Jeff Nathanson,23
121,S.S. Rajamouli,50
163,Charles S. Dutton,534
792,Jonathan Lynn,36
1128,David Carson,18
4,Kar-Wai Wong,0
2114,Yuefeng Song,0
1830,Norman Jewison,278
250,David Mirkin,7
629,Luis Mandoki,43
1350,Lee Daniels,304
1692,Jeb Stuart,11
1355,Steve Miner,49
770,Paul Thomas Anderson,0
966,David Leland,2
2072,J Blakeson,5
1652,Ryan Coogler,0
408,Kirk Jones,52
616,Ethan Coen,1000
2145,Jennifer Flackett,3
725,Kevin Smith,0
1230,Christian Ditter,11
688,Charles Martin Smith,188
231,Fedor Bondarchuk,35
454,Irvin Kershner,883
892,Steve Pink,38
195,Scott Hicks,96
1214,Rania Attieh,0
1707,Chris Rock,0
2349,Wilson Yip,25
187,Robert Wise,338
934,Kevin Rodney Sullivan,8
1512,Kevin Munroe,14
2181,Michael Tollin,19
2259,Patrick Tatopoulos,148
1504,Gary David Goldberg,30
2223,Tobe Hooper,365
1269,Alan Poul,16
2110,Luke Greenfield,42
1458,Gil Junger,19
306,Michael Ritchie,23
650,Steven E. de Souza,133
860,Alexandre Aja,192
1050,Michael Rymer,48
69,Hugh Wilson,37
1256,Mike Hodges,24
438,Scott Mann,8
2029,Susanna White,24
457,Chris Carter,251
1387,Tommy O'Haver,13
1480,Peter Landesman,15
889,Gary Chapman,2
711,Craig Mazin,82
153,Allen Hughes,90
1452,Kimble Rendall,0
374,Peter Yates,170
1124,Lasse Hallstrm,529
1140,Jean-Marc Valle,212
478,Hark Tsui,85
826,Lexi Alexander,189
1946,Ronny Yu,31
1462,Bille August,55
696,Moustapha Akkad,278
1751,Jean-Paul Rappeneau,22
1481,Joachim Rnning,18
1860,Tony Kaye,194
1501,Ken Scott,31
1610,Hugh Johnson,3
981,Hayao Miyazaki,6000
1744,George Tillman Jr.,88
2075,Rand Ravich,7
993,Hugh Hudson,46
841,Jeremy Degruson,0
947,Chris Gorak,21
1292,Scott Speer,35
1447,Joe Charbanic,10
288,Jonathan Hensleigh,36
2207,Danny Cannon,41
850,Boaz Yakin,132
1777,Richard Marquand,37
476,Neil Marshall,197
1301,David Wain,136
762,Jared Hess,100
1135,Rupert Wainwright,9
785,John Luessenhop,34
2221,Justin Zackham,16
1270,John Gatins,61
2107,Miguel Sapochnik,238
138,Hyung-rae Shim,26
2215,Don Scardino,35
413,Tim Robbins,0
1712,Tom Reeve,0
1673,Nanette Burstein,8
365,Ariel Vromen,34
1709,Lewis Gilbert,43
756,John Francis Daley,0
911,J.B. Rogers,6
1280,Michael Sucsy,23
2276,Tom Vaughan,12
2150,Stephen Hillenburg,47
2309,Stig Bergqvist,0
535,Jason Reitman,655
146,Alexander Payne,729
1879,Jonathan Levine,129
570,Rian Johnson,0
1697,Chris Noonan,108
1746,Michael McCullers,5
751,Forest Whitaker,0
1182,Woody Allen,11000
1622,Peter Lepeniotis,7
1750,Ted Demme,47
1996,William Shatner,0
431,Steve Box,9
664,James Gartner,0
1602,Lee Toland Krieger,43
181,Tim McCanlies,23
1285,Drew Goddard,246
501,Jason Friedberg,82
2353,Paul Michael Glaser,343
1240,John R. Leonetti,40
1535,Tom Hanks,15000
435,Kimberly Peirce,108
1152,Liz Friedlander,3
252,Phil Joanou,21
142,Shane Acker,30
1759,Martha Coolidge,57
279,Stephen J. Anderson,15
1613,Troy Miller,14
2273,Tate Taylor,150
1595,Brett Leonard,32
2063,Alister Grierson,24
839,Nick Hurran,34
84,Charles Stone III,30
660,Paul Haggis,549
208,Kurt Wimmer,110
1672,Jean-Franois Richet,25
2375,Kevin Hooks,114
198,Ellory Elkayem,11
1247,Niki Caro,51
2351,Vincenzo Natali,165
1016,Willard Huyck,8
674,Gavin O'Connor,149
675,Bruce Hunt,2
2020,Chris Roberts,38
1183,Jee-woon Kim,419
2062,Nick Hamm,6
139,Andy Cadiff,3
900,Mike Disa,6
870,Richard J. Lewis,12
1935,Sergio Leone,0
234,Niels Arden Oplev,76
784,Michael Radford,53
1063,Steve Boyum,9
20,Kaige Chen,45
1266,Corey Yuen,23
847,Andrew Dominik,181
1093,Li Zhang,0
837,Laurent Tirard,2
1597,Reinhard Klooss,7
1356,Frdric Auburtin,18
149,Olivier Dahan,61
1275,Maksim Fadeev,0
2155,Liliana Cavani,59
853,Greg Tiernan,5
184,Elizabeth Banks,0
1544,Edward Norton,0
788,Ben Falcone,265
623,Richard Attenborough,0
428,Don Mancini,64
2043,John Maybury,11
334,Igor Kovalyov,5
2211,Shinji Aramaki,21
730,Miguel Arteta,44
156,James Gray,115
653,Janusz Kaminski,710
79,Robert B. Weide,53
2140,Jeff Wadlow,65
1271,Agustn Daz Yanes,13
1161,Camille Delamarre,11
937,David Lean,767
2017,Richard Eyre,14
1795,Nicholas Meyer,120
74,Callie Khouri,144
1855,Sanaa Hamri,43
63,Philip Kaufman,133
866,Saul Dibb,10
1863,Walter Murch,181
313,Richard Linklater,0
1287,E. Elias Merhige,54
282,Menno Meyjes,43
1250,Jodie Foster,0
1815,Scott Frank,71
108,Kevin Allen,8
91,Michael Cristofer,49
337,Andrew Morahan,5
2263,Bob Rafelson,30
823,Michael Cohn,2
1455,Alan Shapiro,0
925,Fernando Meirelles,353
2260,Michael Hoffman,97
426,Oleg Stepchenko,0
2057,Michael Winterbottom,187
2083,Michael Pressman,34
1705,Sharon Maguire,11
165,Charles Herman-Wurmfeld,0
713,Gabor Csupo,47
988,Tyler Perry,0
1893,Joe Carnahan,248
310,John Polson,21
1224,Bernardo Bertolucci,973
1559,Cathy Malkasian,0
1312,John Eng,0
1019,Chris Nahon,20
2146,Fred Wolf,29
2358,Bille Woodruff,23
24,Victor Salva,108
2234,Mark Helfrich,7
804,Steve Bendelack,68
2076,Dwight H. Little,27
1493,Guillaume Canet,0
577,Kirsten Sheridan,59
1539,Richard Fleischer,130
2041,Bob Spiers,14
1698,Damien Dante Wayans,82
2307,John Wells,53
1710,Tim Fywell,3
944,Nigel Cole,13
1400,Dexter Fletcher,452
409,Jeremy Leven,19
1645,Sylvain White,41
1412,Troy Nixey,24
1975,Philip G. Atwell,5
1786,Jeff Schaffer,17
614,Don Michael Paul,70
2274,James Bridges,21
1642,Steve Barron,48
1003,Bill Paxton,0
890,Richard Kelly,219
946,Carter Smith,27
1125,John Schlesinger,154
931,Ringo Lam,17
1730,Bruce McCulloch,54
32,Patricia Riggen,36
1989,Pascal Chaumeil,8
83,Jonathan Kaplan,57
55,Ole Bornedal,30
185,Richard Benjamin,121
236,Craig R. Baxley,22
601,John Hillcoat,214
1195,John Guillermin,71
1839,Marcos Siega,32
2342,Rachel Talalay,54
2080,Jeffrey W. Byrd,2
1809,Atom Egoyan,460
872,Robert Towne,162
1722,Giuseppe Tornatore,911
802,Werner Herzog,0
1436,Ben Stassen,4
354,Jrme Deschamps,0
1302,Inna Evlannikova,0
1262,Jonathan English,9
1596,Sergey Bondarchuk,27
1209,Teddy Chan,3
1868,Mario Van Peebles,535
638,Leonard Nimoy,12000
1404,Herbert Ross,71
2214,Bonnie Hunt,597
1079,Neil LaBute,119
1736,Grant Heslov,293
2012,George Gallo,269
1172,Sidney Lumet,0
2089,Douglas McGrath,41
296,Kevin Spacey,18000
1901,Richard Williams,18
1273,Mary McGuckian,6
2048,Tony Goldwyn,956
461,Jonathan Newman,3
2265,Michael Dinner,12
1073,Joseph Sargent,114
508,Jerry Zaks,4
2268,Fred Durst,258
695,Anne Fontaine,105
645,Jon Cassar,78
750,Mira Nair,300
643,Mel Brooks,0
1225,Russell Crowe,0
197,Jessie Nelson,24
1765,Christopher Spencer,25
1634,Mike Bigelow,2
1324,Daniel Sackheim,12
1055,Harry Elfont,4
1460,Uli Edel,34
917,Fred Dekker,87
5,Brian Trenchard-Smith,53
1870,Blake Edwards,688
1848,Laurence Dunmore,2
707,Christian Carion,13
360,David Palmer,21
2386,Rowan Joffe,17
1153,John Curran,43
1274,Juan Jos Campanella,195
1675,Trey Parker,406
833,Stuart Gillard,8
170,Katt Shea,52
253,Joshua Michael Stern,0
2129,Tomas Alfredson,140
33,John Duigan,18
2151,Colin Higgins,19
2111,Jim Sonzero,2
295,Penelope Spheeris,122
2299,Jeff Tremaine,79
1911,Jeannot Szwarc,82
1314,Steve McQueen,0
1985,Thea Sharrock,17
2216,Jon Lucas,24
962,Aaron Seltzer,64
595,Robin Budd,2
1052,Ava DuVernay,151
1637,Steve Trenbirth,0
2009,Mennan Yapo,9
1941,Jun Falkenstein,25
1028,Tom McCarthy,310
1170,Takashi Shimizu,70
1628,Gary Nelson,20
2341,Anton Corbijn,210
1403,Gregory Nava,16
1838,John Patrick Shanley,53
372,Joshua Logan,32
402,Steve Beck,17
2102,Todd Strauss-Schulson,12
2099,John McNaughton,39
1259,Nelson McCormick,29
1416,Eric Valette,2
188,Andrew Fleming,26
1706,Michael Spierig,35
1561,Jim Field Smith,14
258,Thomas Bezucha,15
918,William Brent Bell,19
969,Anthony Bell,0
1742,Jessica Bendinger,31
1679,Henry Joost,24
1798,Ed Harris,0
1899,Alfred Hitchcock,13000
87,Shana Feste,19
2356,Mike Binder,57
2363,Michael J. Bassett,83
716,Frank Nissen,0
1743,Stephen Chow,0
604,Peter Hastings,0
1043,Paul Abascal,2
381,Chris Koch,13
85,Amy Heckerling,143
471,Michael Moore,909
1378,George Stevens,126
898,Billy Ray,53
1000,Mark Mylod,20
1661,James Mather,4
2074,Michael O. Sajbel,6
270,Charles T. Kanganis,18
281,Damon Santostefano,4
251,Bob Clark,84
398,Dave Borthwick,3
761,Benson Lee,9
1549,Glen Morgan,17
1087,Mike Leigh,608
359,Alejandro Monteverde,38
1647,Jonathan Glazer,143
514,J.C. Chandor,78
1371,Paul Gross,329
1905,Marc Abraham,18
776,Todd Haynes,162
885,Mabrouk El Mechri,19
520,Charlie Kaufman,0
1967,Nancy Walker,42
2295,Angelo Pizzo,14
813,Matthew Diamond,12
1064,Katsuhiro tomo,78
2266,David Anspaugh,25
215,Andrew Jarecki,46
963,Daniel Algrant,3
1823,Jane Clark,23
1382,Mike Barker,5
2337,Wayne Thornley,0
766,Gnana Rajasekaran,0
1217,Tom Walsh,2
1362,Jonathan Jakubowicz,23
1394,Scott Walker,17
967,Mark Rosman,15
801,Rob Hawk,97
2243,Britt Allcroft,2
656,Alan Yuen,0
1973,Brian Percival,33
1425,Anand Tucker,14
2015,Anthony Mann,75
977,Michael Dowse,31
1604,Daniel Barnz,33
541,Emile Ardolino,22
2124,Robert Altman,500
1968,Andrew Douglas,15
90,Ricky Gervais,0
171,Vic Armstrong,179
485,Terry Zwigoff,72
989,Audrey Wells,22
1550,Rick Friedberg,8
1976,Sean McNamara,80
164,Jody Hill,62
1686,Brandon Camp,7
1820,Kevin Tancharoen,64
2097,Nicholas Hytner,13
938,Bart Freundlich,38
1467,William A. Fraker,28
1923,John Boorman,128
1766,Courtney Solomon,31
189,Jeff Kanew,6
1465,Istvn Szab,109
984,Matthew Robbins,25
699,Hal Needham,379
1964,Jeff Nichols,337
2237,Jonathan Teplitzky,6
1972,Michael Haneke,0
2368,Zack Ward,662
348,Mike Marvin,28
1853,Gregor Jordan,34
242,Tran Anh Hung,157
1526,Lance Hool,0
1263,Christian Volckman,2
178,Rodrigo Corts,89
2366,David Hayter,512
1800,Cory Edwards,19
68,Terry George,83
2213,Xavier Gens,87
1683,Kasi Lemmons,148
1821,Brian A Miller,32
369,Matt Dillon,0
798,George Cukor,165
903,John Hoffman,9
73,Kevin Greutert,52
1538,John Fortenberry,12
1726,Erik White,17
642,Chris Robinson,49
1791,Jason Moore,36
1897,Robert Harmon,11
2152,Trent Cooper,0
958,Gary Halvorson,11
2023,Nicholas Ray,117
135,Fede Alvarez,201
1108,Sidney J. Furie,22
1430,Ian Iqbal Rashid,8
2323,Wayne Kramer,47
1014,Rowdy Herrington,9
955,Jim Goddard,3
582,Noel Marshall,4
975,Andrea Di Stefano,30
1024,Guillaume Ivernel,0
1646,Jack Smight,22
2224,Todd Lincoln,57
2064,Howard Zieff,6
626,Steven Shainberg,30
1778,Julian Jarrold,11
1650,Joe Nussbaum,18
448,Vadim Perelman,26
1522,Peter Farrelly,137
179,Michel Hazanavicius,405
2208,Cyrus Nowrasteh,19
1979,Perry Andelin Blake,11
708,Christian E. Christiansen,26
781,Sheldon Lettich,23
550,Diane English,15
105,Peter Flinth,5
113,Robert Iscove,7
1685,Peter Kosminsky,7
406,Nick Gomez,22
968,Allen Coulter,47
58,Clare Kilner,6
238,Josef Rusnak,9
1745,Lance Rivera,3
1955,Ronald Neame,38
1264,Bruce Paltrow,28
849,Adam Rifkin,89
1027,Susanne Bier,369
2166,Kenneth Johnson,34
1396,James Ivory,133
475,Jessy Terrero,29
525,Dany Boon,172
497,Vicente Amorim,6
1847,Gaspar No,929
2121,Jrme Salle,22
2021,Tommy Lee Jones,0
2379,Jesse Vaughan,10
327,William Bindley,4
103,Wayne Beach,7
467,Grard Krawczyk,7
2027,Udayan Prasad,4
1,JK Youn,2
9,Morten Tyldum,77
2283,Andrs Muschietti,127
569,Gillian Armstrong,44
1066,James Watkins,43
1034,Jim Fall,13
1603,Ric Roman Waugh,29
1918,Michael Dougherty,66
2308,Joel Gallen,11
1651,James Marsh,120
166,Matt Williams,18
627,Rob Zombie,0
104,Dennis Iliadis,29
1215,Rick Rosenthal,28
1245,Denzel Washington,18000
2007,Nicolas Winding Refn,0
1655,Sara Sugarman,10
412,Juan Carlos Fresnadillo,35
1674,Gina Prince-Bythewood,107
1397,Phil Traill,3
1305,Joe Berlinger,31
591,Elizabeth Allen Rosenbaum,20
460,Michael Mayer,15
854,Martin Weisz,7
1306,John Ottman,83
141,John Bonito,8
919,Peter Atencio,10
1547,David Nutter,119
1641,Derek Cianfrance,310
159,Stephan Elliott,11
1165,Mark L. Lester,73
1340,Tom Green,374
2061,Mike Nawrocki,12
432,Catherine Owens,0
