id,name,facebook_likes
3910,David Rasche,219
1399,LeVar Burton,1000
3260,Steve Gonsalves,130
2064,Al Pacino,14000
769,Will Smith,10000
3714,Alan Dale,441
3995,Adriano Giannini,102
3795,Susanna Thompson,265
2690,Wilson Cruz,290
1174,Kevin Zegers,2000
2775,Mike O'Malley,400
226,Adam Goldberg,1000
1918,Olivia Munn,2000
2189,Aaron Kwok,107
2869,Clayne Crawford,298
1895,Ed Skrein,805
2414,Morgan Fairchild,730
830,Leonard Roberts,962
3709,Soleil Moon Frye,558
155,Mark Addy,891
3422,Malcolm Goodwin,117
540,Kim Shaw,935
157,Nate Parker,664
1842,Brian Thompson,663
1829,Spencer Wilding,1000
2278,Irene Papas,243
3943,Beth Riesgraf,718
664,Frank Welker,2000
3397,Thomas Ian Nicholas,864
2287,Fred Rogers,419
2705,Adam Alexi-Malle,860
4109,Don S. Davis,440
282,Jack Palance,549
2932,Jason Connery,110
3185,Ophelia Lovibond,549
1810,Thomas McDonell,962
1263,Carlos Ponce,591
3829,Holt McCallany,273
2131,Jimmy Nail,40
2380,Jenna Boyd,518
3936,Terence Bernie Hines,390
1857,Russell Tovey,796
3423,Bruce Boxleitner,640
197,Lauren Holly,879
1494,Tina Fey,2000
1436,Jason Momoa,11000
1745,Joe Mantegna,1000
3157,Billy Gardell,245
2435,Lenny Venito,62
1518,Vanessa Williams,1000
2207,Joel Paul Reisig,431
2656,Gerry Becker,27
3621,Amber Rose Revah,135
3099,Jorge Garcia,1000
3434,Chris Miller,50
3848,Mark Christopher Lawrence,258
599,Robin Wright,18000
2780,Billy Brown,536
4065,Anna-Louise Plowman,131
3379,Gemma Jones,171
2187,Erik Per Sullivan,593
3937,Emily Wickersham,348
2346,Michael Cudlitz,822
3610,Alycia Debnam-Carey,298
3094,Jon Tenney,289
421,Joan Chen,643
2821,Ben Miles,119
3070,Bruce Alexander,7
606,Anjelica Huston,1000
2853,Brittany Curran,512
3765,Donald Watkins,552
1831,Naomi Watts,6000
3447,David Bailie,40
1140,Gregory Smith,694
3720,Lara Flynn Boyle,619
1148,Ty Burrell,3000
1762,Mo'Nique,940
1162,Chazz Palminteri,979
3170,Zoey Deutch,852
1252,Andrew Wilson,387
734,Billy Burke,2000
2795,Gilbert Gottfried,560
1013,Charlie Rowe,882
3730,Guro Nagelhus Schia,35
2891,Fares Fares,254
3267,Douglas Haase,629
2641,Gulshan Grover,102
929,Adam Garcia,811
2936,Anatoliy Solonitsyn,29
1715,Christopher Masterson,1000
2489,Billy Blair,541
852,Ben Gazzara,623
2249,Pamela Anderson,780
3637,Wendy Raquel Robinson,337
2367,Eric Jacobson,91
3905,Matt Malloy,108
2303,Tyra Banks,625
460,Madeline Kahn,1000
2340,Nick Zano,641
1118,Jet Li,5000
3915,Vincent Kartheiser,845
3993,Valerie Cruz,216
2401,Natalie Imbruglia,304
3593,T.V. Carpio,117
3091,Adrien Dorval,44
1186,Henry Thomas,861
1643,Omari Hardwick,1000
242,Ye Liu,52
2425,Charlie Yeung,68
3630,Giovanna Mezzogiorno,202
2403,Clotilde Hesme,116
323,Daniel Roebuck,1000
2266,Julia Nickson,738
2756,Dickie Jones,48
1583,Sam Waterston,849
3030,Lillian Adams,28
1721,Holly Hunter,1000
3781,Charlie Tahan,268
134,Dax Flame,971
3164,William Xifaras,815
1100,Richard Burton,726
1781,Talisa Soto,349
2035,Tony Chiu Wai Leung,643
1383,Gavin MacLeod,284
452,Dany Boon,172
3014,Youssef Hajdi,152
3285,Lee Evans,312
302,Haley Joel Osment,3000
2900,Mandy Gonzalez,81
2321,William Zabka,641
3803,Annabeth Gish,489
2552,Jeffrey Weissman,869
3550,Lori Petty,923
3879,Sabrina Revelle,50
263,Curtis Armstrong,876
2917,Jay O. Sanders,256
538,Kate Upton,971
2,Andrew Fiscella,137000
1610,Mark Rylance,535
2501,Mario Lopez,719
3344,Nick Cannon,593
2576,Margarita Levieva,980
2976,Paul Scheer,190
3611,Dalia Hernndez,78
1091,Zachary Gordon,975
4089,Deneen Tyler,351
1571,Odeya Rush,2000
2234,Beau Garrett,689
2933,Steve Schirripa,413
2920,Jos Wilker,47
1719,Sam Trammell,1000
2770,Nelson Ascencio,61
2462,Jacqueline MacInnes Wood,682
2716,Melissa Altro,21
2798,Shaun Weiss,613
3596,Thomas Horn,467
2415,Patti D'Arbanville,117
3913,David Fine,1000
2482,Jimmy Smits,941
2332,Valerie Perri,322
3791,Justin Chambers,931
3633,Andrea Frankle,253
1714,Cliff Robertson,754
3627,Robert Turano,32
3938,Jaleel White,908
2465,Elizabeth Berkley,893
1311,Jamel Debbouze,326
716,Adam Arkin,374
3525,Matt Ross,248
3201,Lou Saliba,46
2274,Zan Marolt,3
977,Takeshi Kaneshiro,755
3132,Kuno Becker,580
2263,Anushka Shetty,133
3950,Brooklynn Proulx,142
2409,Sean Maher,505
3531,Phil Hartman,516
3300,Hye-kyo Song,290
3931,Bianca Collins,47
1109,Daniella Alonso,557
1536,Jason Marsden,1000
3191,Richard Masur,163
2493,Claudia Stedelin,12
639,Usher Raymond,569
2298,Jeffrey W. Jenkins,18
2309,Ryan Cartwright,476
2691,Maggie Siff,1000
3240,Phylicia Rashad,597
3677,Anthony Simcoe,82
1212,Damon Wayans Jr.,756
2386,Michael Roark,680
766,Molly C. Quinn,707
2460,Fedor Bondarchuk,35
3098,Klaus Maria Brandauer,172
3414,Taylor Blackwell,641
2224,Reeve Carney,602
3852,Colin O'Donoghue,3000
3125,Robin Bartlett,79
3065,Lynn Hung,79
1483,Aimee Garcia,618
3058,Nicole Sullivan,358
3575,Matt McCoy,398
2520,Marg Helgenberger,759
1238,Lin Shaye,852
3318,Anne Parillaud,130
3489,Kevin Connolly,638
1893,Sarah Michelle Gellar,4000
840,Christine Taylor,838
3383,Victor Webster,940
339,Marsha Thomason,691
4074,Raul Julia,1000
883,Frank Finlay,338
2197,Hiam Abbass,224
4114,Paris Hilton,716
2750,Jesse Tyler Ferguson,648
1833,Bill Bailey,175
2355,Benjamin J. Cain Jr.,73
3314,Lucy Gordon,61
1813,Brooke Shields,1000
3774,Cariba Heine,351
2771,Dann Florek,367
317,Bashar Rahal,603
2505,Lela Rochon,316
2642,Soleyman Pierini,22
3738,Lee Arenberg,457
3944,Jeffrey Dover,2
3069,Hanaa Bouchaib,9
3728,Aml Ameen,149
2473,June Diane Raphael,249
3519,Yki Amami,3
3874,Fana Mokoena,98
2280,Brianne Brozey,15
2878,Veronika Vernadskaya,150
2893,Stephen Boss,594
1648,Marco St. John,403
99,Kyra Sedgwick,941
3302,Danny Nucci,242
976,John Belushi,1000
3591,Pat Hingle,165
2643,Mike Doyle,160
2335,Marc Anthony,368
3243,Rollo Weeks,239
487,Michael Gough,920
3445,Peter Jason,151
1115,Norman Reedus,12000
3304,Chita Rivera,151
174,Shannon Elizabeth,1000
3484,Lucas Bryant,359
1089,Denzel Washington,18000
2973,Spencer Treat Clark,541
2140,Bern Cohen,805
2824,Casey Kasem,844
3838,June Squibb,344
2701,Vincent Leclerc,18
1816,Tony Nappo,654
2445,Scott Adsit,316
2438,Audrey Fleurot,204
4040,Geraldine McEwan,269
2627,Alfie Allen,1000
3542,Marcia DeBonis,60
2811,Ken Takakura,255
1169,Larry David,860
2601,Bernardo Saracino,221
1435,Michiel Huisman,2000
2946,Christian Stolte,189
3230,Mark Rendall,72
3710,Vicky Krieps,33
53,Jurnee Smollett-Bell,2000
2184,Robert Lopez,73
4115,Kirk Baltz,199
835,Chris Noth,962
198,Daniel Stern,796
3036,Drea de Matteo,739
1592,Doug E. Doug,953
1490,Matthew Perry,2000
1161,David Hewlett,686
3420,Lobo Sebastian,206
2229,Christopher Cousins,93
2468,Reid Ewing,343
984,Michael Greyeyes,909
3192,Texas Battle,315
3330,James Burnett,236
2967,Stark Sands,143
3135,Atom Egoyan,460
1257,Ingvar Eggert Sigursson,63
3839,Richard Roundtree,240
2596,Sad Taghmaoui,378
4090,Bill Paterson,142
3883,Toby Leonard Moore,181
3366,Holly Valance,816
1027,Sandrine Kiberlain,71
1559,Madeline Carroll,1000
3876,Patrick Lyster,11
1476,Birgitte Hjort Srensen,1000
2424,Kirk Acevedo,641
4052,Milos Forman,869
3068,Bradley Pierce,409
3626,David Julian Hirsh,147
2937,Jason Lewis,948
3609,Neil Brown Jr.,427
3055,Amrish Puri,429
3010,Y Aoi,59
170,Topol,402
3670,David Sparrow,9
2783,Noah Lomax,447
2558,Omri Katz,336
58,Lily Rabe,763
2537,Deborah Twiss,488
2947,Dilshad Vadsaria,579
169,Sean Young,759
3972,Richard Sammel,194
2167,Oleg Taktarov,327
3665,Philippe Labro,3
704,Francis Capra,937
3624,Bella Heathcote,860
3280,Tulku Jamyang Kunga Tenzin,2
2141,Katherine Parkinson,261
1374,Donald Faison,927
2861,Elena Anaya,1000
2901,Sofia Vassilieva,489
3932,Andrew Simpson,99
2896,Aretha Franklin,809
2987,Christopher Webster,5
3663,Barret Oliver,312
3479,Art Carney,154
3495,Jean Marsh,146
3887,Junix Inocian,132
2216,Amy Carson,4
4079,Martin Clunes,264
2319,Kaitlin Olson,547
2927,Dirk Bogarde,232
2427,Carl Gilliard,285
3002,Michael Landes,439
3084,Larry Hankin,412
3722,Todd Allen,130
3821,Gregory Itzin,216
3028,Kirstie Alley,980
3975,Chelsea Field,95
2393,Maia Morgenstern,252
1882,Mara Wilson,1000
